,排名,排名变化,高校名称,高校类型,高校条件,所在地,综合分数,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
0,1,0.0,清华大学,综合,"['一流大学A类', '985', '211']",北京,969.2,37.9,74.3,39.4,48.7,343.0,88.0,37.9,90.8,129.1,80.1
1,2,0.0,北京大学,综合,"['一流大学A类', '985', '211']",北京,855.3,36.1,72.9,25.9,49.2,315.7,88.0,12.8,92.6,102.9,59.2
2,3,0.0,浙江大学,综合,"['一流大学A类', '985', '211']",浙江,768.7,34.3,65.4,21.8,47.7,285.7,91.4,32.2,67.7,79.4,42.9
3,4,0.0,上海交通大学,综合,"['一流大学A类', '985', '211']",上海,723.4,35.5,53.1,21.6,44.9,260.0,98.2,18.8,65.1,86.8,39.2
4,5,0.0,南京大学,综合,"['一流大学A类', '985', '211']",江苏,654.8,35.1,47.9,10.8,48.1,272.0,72.4,4.9,61.2,72.0,30.4
5,6,0.0,复旦大学,综合,"['一流大学A类', '985', '211']",上海,649.7,36.6,48.4,16.6,46.2,255.8,78.6,4.8,65.0,60.1,37.6
6,7,0.0,中国科学技术大学,理工,"['一流大学A类', '985', '211']",安徽,577.0,40.0,37.7,11.9,45.9,232.1,61.4,0.8,58.6,46.6,42.1
7,8,0.0,华中科技大学,综合,"['一流大学A类', '985', '211']",湖北,574.3,32.1,44.7,11.3,45.2,232.2,74.2,22.9,35.2,45.2,31.3
8,9,0.0,武汉大学,综合,"['一流大学A类', '985', '211']",湖北,567.9,31.8,49.6,10.4,45.7,255.4,61.7,9.5,35.0,43.0,25.7
9,10,1.0,西安交通大学,综合,"['一流大学A类', '985', '211']",陕西,537.9,34.5,40.3,11.2,44.1,243.7,56.9,10.0,26.2,46.5,24.6
10,11,1.0,哈尔滨工业大学,理工,"['一流大学A类', '985', '211']",黑龙江,522.6,32.7,37.7,5.8,47.0,228.7,51.9,33.5,23.7,35.8,25.8
11,12,-2.0,中山大学,综合,"['一流大学A类', '985', '211']",广东,519.3,30.9,46.7,13.7,48.3,194.6,74.0,8.4,37.8,31.4,33.3
12,13,1.0,北京师范大学,师范,"['一流大学A类', '985', '211']",北京,518.3,34.8,42.3,13.4,47.6,215.1,47.4,16.1,33.2,39.0,29.4
13,14,2.0,四川大学,综合,"['一流大学A类', '985', '211']",四川,516.6,30.7,46.0,9.2,43.0,217.0,64.7,19.7,28.0,35.4,23.1
14,15,-2.0,北京航空航天大学,理工,"['一流大学A类', '985', '211']",北京,513.8,32.8,33.9,11.1,42.6,221.4,46.1,20.7,26.7,54.7,23.8
15,16,-1.0,同济大学,理工,"['一流大学A类', '985', '211']",上海,508.3,33.2,40.3,12.2,43.9,221.0,58.9,12.5,29.1,35.0,22.1
16,17,0.0,东南大学,综合,"['一流大学A类', '985', '211']",江苏,488.1,34.3,37.7,12.4,44.5,223.0,44.8,9.1,20.1,36.2,25.8
17,18,0.0,中国人民大学,综合,"['一流大学A类', '985', '211']",北京,487.8,34.5,42.1,10.3,46.2,224.6,39.9,0.2,31.8,42.6,15.8
18,19,1.0,北京理工大学,理工,"['一流大学A类', '985', '211']",北京,474.0,32.3,30.6,11.3,43.8,206.4,37.9,28.0,19.2,40.5,24.0
19,20,-1.0,南开大学,综合,"['一流大学A类', '985', '211']",天津,465.3,31.5,35.2,9.2,45.5,216.0,44.3,2.4,29.1,27.3,24.9
20,21,1.0,山东大学,综合,"['一流大学A类', '985', '211']",山东,447.0,28.8,39.5,9.6,44.5,205.9,50.6,4.3,20.5,21.7,21.6
